name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	1014789	101674	1153350	0.075147
Roseburia hominis	301301	S	414018	62307	481637	0.031381
Eubacterium rectale	39491	S	419834	15629	422273	0.027513
Bifidobacterium longum	216816	S	213309	771	232486	0.015148
Prevotella copri	165179	S	267272	17539	282497	0.018406
Escherichia coli	562	S	400809	13964	450090	0.029326
Enterococcus faecalis	1351	S	52782	3475	55672	0.003627
Fusobacterium nucleatum	851	S	65501	7720	74692	0.004867
Ruminococcus gnavus	33038	S	74009	10197	79175	0.005159
Veillonella parvula	29466	S	264756	35962	305152	0.019882
Streptococcus salivarius	1304	S	81425	1477	85618	0.005578
Bacteroides sp5000	5000	S	140599	9758	147344	0.0096
Parabacteroides sp5001	5001	S	195575	4188	197203	0.012849
Alistipes sp5002	5002	S	208530	12624	220335	0.014356
Blautia sp5003	5003	S	175576	8747	176721	0.011514
Dorea sp5005	5005	S	38563	5244	38783	0.002527
Coprococcus sp5006	5006	S	18552	2510	20832	0.001357
Lachnospira sp5007	5007	S	418204	15860	418480	0.027266
Anaerostipes sp5008	5008	S	760854	64845	831066	0.054148
Collinsella sp5009	5009	S	30371	77	33963	0.002213
Eggerthella sp5010	5010	S	24359	1166	27587	0.001797
Holdemania sp5011	5011	S	96361	2698	105136	0.00685
Enterobacter sp5014	5014	S	132772	14311	135346	0.008818
Klebsiella sp5015	5015	S	252175	28501	292283	0.019044
Citrobacter sp5016	5016	S	55826	8446	58886	0.003837
Haemophilus sp5018	5018	S	191903	8391	225648	0.014702
Desulfovibrio sp5019	5019	S	48080	6796	48607	0.003167
Bilophila sp5020	5020	S	45655	5473	47653	0.003105
Sutterella sp5021	5021	S	189978	16954	219953	0.014331
Parasutterella sp5022	5022	S	351198	10790	396952	0.025863
Subdoligranulum sp5024	5024	S	112653	2348	115953	0.007555
Butyrivibrio sp5025	5025	S	165808	25365	180168	0.011739
Odoribacter sp5026	5026	S	117713	19670	134089	0.008737
Barnesiella sp5027	5027	S	145362	12125	145487	0.009479
Christensenella sp5028	5028	S	106560	5771	121711	0.00793
Gemella sp5030	5030	S	308756	15679	337929	0.022018
Granulicatella sp5031	5031	S	70124	11463	78606	0.005122
Rothia sp5032	5032	S	80682	10166	92419	0.006022
Actinomyces sp5033	5033	S	90976	9570	107023	0.006973
Corynebacterium sp5034	5034	S	116941	5115	118435	0.007717
Finegoldia sp5035	5035	S	185934	20705	211812	0.013801
Peptoniphilus sp5036	5036	S	244212	26339	255215	0.016629
Megasphaera sp5038	5038	S	33071	1393	36832	0.0024
Dialister sp5039	5039	S	530978	74027	534513	0.034826
Mitsuokella sp5040	5040	S	68753	9500	74846	0.004877
Phascolarctobacterium sp5041	5041	S	41319	2865	45018	0.002933
Pseudoflavonifractor sp5042	5042	S	163349	11960	187003	0.012184
Flavonifractor sp5043	5043	S	72556	263	77966	0.00508
