name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	1883679	295492	2060572	0.096195
Roseburia intestinalis	166486	S	592731	52069	671871	0.031365
Roseburia hominis	301301	S	62548	5439	65127	0.00304
Bifidobacterium adolescentis	1680	S	296412	16986	299602	0.013987
Bifidobacterium longum	216816	S	250706	3620	272640	0.012728
Akkermansia muciniphila	239935	S	303493	13938	322402	0.015051
Prevotella copri	165179	S	439336	41056	502647	0.023465
Escherichia coli	562	S	160122	1959	172203	0.008039
Enterococcus faecalis	1351	S	64628	6333	67693	0.00316
Fusobacterium nucleatum	851	S	35732	2864	40681	0.001899
Ruminococcus gnavus	33038	S	401577	33287	419162	0.019568
Bacteroides fragilis	817	S	237568	12632	261258	0.012196
Clostridium difficile	1496	S	32015	4789	34003	0.001587
Veillonella parvula	29466	S	111657	1316	117440	0.005483
Streptococcus salivarius	1304	S	200627	29168	218286	0.01019
Bacteroides sp5000	5000	S	252772	43387	292503	0.013655
Parabacteroides sp5001	5001	S	51119	604	51513	0.002405
Alistipes sp5002	5002	S	470464	25884	475211	0.022185
Blautia sp5003	5003	S	519726	33394	532122	0.024841
Clostridium sp5004	5004	S	104729	10875	114317	0.005337
Dorea sp5005	5005	S	29920	156	30968	0.001446
Coprococcus sp5006	5006	S	54128	1614	57647	0.002691
Lachnospira sp5007	5007	S	163152	9442	180900	0.008445
Anaerostipes sp5008	5008	S	202292	11016	219797	0.010261
Collinsella sp5009	5009	S	9674	244	11170	0.000521
Eggerthella sp5010	5010	S	26584	2193	31092	0.001451
Holdemania sp5011	5011	S	486111	8492	489456	0.02285
Lactobacillus sp5012	5012	S	18796	2084	18949	0.000885
Streptococcus sp5013	5013	S	138027	14128	145964	0.006814
Enterobacter sp5014	5014	S	212383	3497	218051	0.010179
Klebsiella sp5015	5015	S	75023	8474	81044	0.003783
Proteus sp5017	5017	S	79963	10648	85247	0.00398
Haemophilus sp5018	5018	S	149730	18020	173935	0.00812
Desulfovibrio sp5019	5019	S	100007	6115	107523	0.00502
Bilophila sp5020	5020	S	139068	14373	154342	0.007205
Sutterella sp5021	5021	S	337814	25560	343430	0.016033
Oscillibacter sp5023	5023	S	318422	19726	327020	0.015266
Subdoligranulum sp5024	5024	S	84339	899	97462	0.00455
Butyrivibrio sp5025	5025	S	121833	8099	142047	0.006631
Barnesiella sp5027	5027	S	174420	20856	193675	0.009041
Christensenella sp5028	5028	S	361058	2864	375546	0.017532
Methanobrevibacter sp5029	5029	S	182749	8512	206925	0.00966
Gemella sp5030	5030	S	313152	7282	335949	0.015683
Granulicatella sp5031	5031	S	140582	22873	161572	0.007543
Rothia sp5032	5032	S	259101	7233	266941	0.012462
Actinomyces sp5033	5033	S	70235	4112	77098	0.003599
Corynebacterium sp5034	5034	S	240888	19032	248685	0.01161
Finegoldia sp5035	5035	S	281889	35950	324317	0.01514
Peptoniphilus sp5036	5036	S	122005	5290	134141	0.006262
Propionibacterium sp5037	5037	S	186962	15402	206286	0.00963
Megasphaera sp5038	5038	S	119730	4819	132817	0.0062
Dialister sp5039	5039	S	124657	394	137020	0.006397
Mitsuokella sp5040	5040	S	79923	2121	82747	0.003863
Phascolarctobacterium sp5041	5041	S	17879	2046	20873	0.000974
Pseudoflavonifractor sp5042	5042	S	126240	15951	130672	0.0061
Flavonifractor sp5043	5043	S	35662	1188	38595	0.001802
