name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	1830638	213276	1873476	0.090583
Roseburia hominis	301301	S	322182	23043	360157	0.017414
Eubacterium rectale	39491	S	831412	15775	947055	0.04579
Bifidobacterium adolescentis	1680	S	470286	19689	490692	0.023725
Bifidobacterium longum	216816	S	294432	45190	302600	0.014631
Akkermansia muciniphila	239935	S	243507	20056	282657	0.013667
Escherichia coli	562	S	458870	55965	472912	0.022865
Fusobacterium nucleatum	851	S	43889	2383	45529	0.002201
Ruminococcus gnavus	33038	S	369360	35905	402319	0.019452
Bacteroides fragilis	817	S	483545	23850	485443	0.023471
Clostridium difficile	1496	S	109657	4482	110936	0.005364
Veillonella parvula	29466	S	165315	16648	165587	0.008006
Streptococcus salivarius	1304	S	98799	9885	107446	0.005195
Bacteroides sp5000	5000	S	405353	18712	455004	0.022
Parabacteroides sp5001	5001	S	181090	3573	208862	0.010099
Alistipes sp5002	5002	S	301341	38222	334026	0.01615
Blautia sp5003	5003	S	262807	4296	279227	0.013501
Clostridium sp5004	5004	S	214772	19812	219641	0.01062
Coprococcus sp5006	5006	S	30846	3119	31029	0.0015
Lachnospira sp5007	5007	S	145279	11782	165792	0.008016
Anaerostipes sp5008	5008	S	358548	1604	378505	0.018301
Collinsella sp5009	5009	S	36831	838	43218	0.00209
Eggerthella sp5010	5010	S	153906	11170	173367	0.008382
Holdemania sp5011	5011	S	114451	2566	123984	0.005995
Lactobacillus sp5012	5012	S	30686	2885	32267	0.00156
Streptococcus sp5013	5013	S	130983	300	146486	0.007083
Enterobacter sp5014	5014	S	118385	8072	137394	0.006643
Klebsiella sp5015	5015	S	152871	9896	175091	0.008466
Citrobacter sp5016	5016	S	173766	15106	184030	0.008898
Proteus sp5017	5017	S	65762	3833	74335	0.003594
Haemophilus sp5018	5018	S	295331	40479	313481	0.015157
Desulfovibrio sp5019	5019	S	35580	3067	36948	0.001786
Sutterella sp5021	5021	S	130021	7872	143774	0.006952
Parasutterella sp5022	5022	S	66338	397	67560	0.003267
Subdoligranulum sp5024	5024	S	176441	17615	176760	0.008546
Butyrivibrio sp5025	5025	S	166388	995	174746	0.008449
Odoribacter sp5026	5026	S	64862	5013	68942	0.003333
Barnesiella sp5027	5027	S	167395	8059	193327	0.009347
Christensenella sp5028	5028	S	266194	22327	270647	0.013086
Methanobrevibacter sp5029	5029	S	62906	751	68976	0.003335
Gemella sp5030	5030	S	451309	49712	471530	0.022799
Granulicatella sp5031	5031	S	199682	16222	211953	0.010248
Rothia sp5032	5032	S	61189	5950	66869	0.003233
Actinomyces sp5033	5033	S	118147	18848	133499	0.006455
Finegoldia sp5035	5035	S	208805	10387	222531	0.010759
Propionibacterium sp5037	5037	S	192269	25326	209569	0.010133
Megasphaera sp5038	5038	S	64021	3216	73231	0.003541
Dialister sp5039	5039	S	201838	10034	212032	0.010252
Mitsuokella sp5040	5040	S	106378	2148	109796	0.005309
Phascolarctobacterium sp5041	5041	S	30119	320	31231	0.00151
Pseudoflavonifractor sp5042	5042	S	280369	44342	329115	0.015913
