name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	896686	141512	991395	0.044179
Roseburia intestinalis	166486	S	596988	13080	601835	0.026819
Roseburia hominis	301301	S	178535	26354	203669	0.009076
Eubacterium rectale	39491	S	246665	178	271385	0.012094
Bifidobacterium adolescentis	1680	S	934129	93975	1048311	0.046715
Bifidobacterium longum	216816	S	775138	15990	799203	0.035614
Akkermansia muciniphila	239935	S	451095	71998	520546	0.023197
Prevotella copri	165179	S	597908	54946	621093	0.027677
Escherichia coli	562	S	111585	7435	115587	0.005151
Fusobacterium nucleatum	851	S	80701	4669	83735	0.003731
Ruminococcus gnavus	33038	S	238774	29449	269310	0.012001
Clostridium difficile	1496	S	14694	2369	16096	0.000717
Veillonella parvula	29466	S	282105	43221	312609	0.013931
Streptococcus salivarius	1304	S	110392	4045	111514	0.004969
Bacteroides sp5000	5000	S	328946	22035	339213	0.015116
Parabacteroides sp5001	5001	S	455721	31155	461430	0.020562
Alistipes sp5002	5002	S	345689	25179	359477	0.016019
Blautia sp5003	5003	S	306531	10366	346688	0.015449
Clostridium sp5004	5004	S	433030	53701	473871	0.021117
Dorea sp5005	5005	S	35789	3929	38043	0.001695
Lachnospira sp5007	5007	S	238900	19333	267721	0.01193
Anaerostipes sp5008	5008	S	67407	9649	78687	0.003506
Collinsella sp5009	5009	S	42231	2581	42296	0.001885
Eggerthella sp5010	5010	S	108502	3244	127404	0.005677
Holdemania sp5011	5011	S	469384	45464	495194	0.022067
Lactobacillus sp5012	5012	S	93570	3680	96646	0.004307
Enterobacter sp5014	5014	S	467762	50046	484957	0.021611
Klebsiella sp5015	5015	S	239807	21840	266921	0.011895
Citrobacter sp5016	5016	S	481248	37461	551833	0.024591
Proteus sp5017	5017	S	79807	5133	81255	0.003621
Haemophilus sp5018	5018	S	179995	16329	184434	0.008219
Desulfovibrio sp5019	5019	S	47083	4670	53578	0.002388
Bilophila sp5020	5020	S	186190	12024	201092	0.008961
Sutterella sp5021	5021	S	296979	21387	342164	0.015248
Parasutterella sp5022	5022	S	106491	1832	123696	0.005512
Oscillibacter sp5023	5023	S	80259	4029	87967	0.00392
Subdoligranulum sp5024	5024	S	286352	16319	289587	0.012905
Butyrivibrio sp5025	5025	S	263642	21759	273579	0.012191
Odoribacter sp5026	5026	S	34423	1405	36022	0.001605
Barnesiella sp5027	5027	S	73801	5919	74450	0.003318
Christensenella sp5028	5028	S	157402	8842	161488	0.007196
Methanobrevibacter sp5029	5029	S	255925	29898	295857	0.013184
Gemella sp5030	5030	S	210218	17608	246978	0.011006
Granulicatella sp5031	5031	S	82012	8781	93310	0.004158
Rothia sp5032	5032	S	353618	24709	354714	0.015807
Actinomyces sp5033	5033	S	307352	24069	316003	0.014082
Corynebacterium sp5034	5034	S	205162	30975	221947	0.00989
Peptoniphilus sp5036	5036	S	332675	39870	338258	0.015074
Propionibacterium sp5037	5037	S	131409	12010	146918	0.006547
Megasphaera sp5038	5038	S	33653	2536	38087	0.001697
Dialister sp5039	5039	S	475961	64353	515874	0.022988
Phascolarctobacterium sp5041	5041	S	33979	2146	34518	0.001538
Pseudoflavonifractor sp5042	5042	S	234656	35574	275207	0.012264
Flavonifractor sp5043	5043	S	69507	7400	79334	0.003535
