name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	353194	52849	378514	0.018647
Roseburia intestinalis	166486	S	800086	105545	940390	0.046327
Eubacterium rectale	39491	S	647069	13761	656618	0.032347
Bifidobacterium adolescentis	1680	S	142835	10523	165239	0.00814
Bifidobacterium longum	216816	S	373416	30685	377169	0.018581
Akkermansia muciniphila	239935	S	295582	6734	318132	0.015672
Prevotella copri	165179	S	343295	49072	403821	0.019894
Escherichia coli	562	S	66523	7327	77072	0.003797
Enterococcus faecalis	1351	S	131795	4178	133505	0.006577
Fusobacterium nucleatum	851	S	43590	541	45895	0.002261
Ruminococcus gnavus	33038	S	658649	17219	700271	0.034498
Bacteroides fragilis	817	S	446132	20989	464531	0.022884
Clostridium difficile	1496	S	63326	6192	68870	0.003393
Veillonella parvula	29466	S	144268	18327	164748	0.008116
Streptococcus salivarius	1304	S	199252	22109	222530	0.010963
Bacteroides sp5000	5000	S	93587	11055	107111	0.005277
Parabacteroides sp5001	5001	S	157005	11524	180626	0.008898
Alistipes sp5002	5002	S	510036	64542	574961	0.028325
Clostridium sp5004	5004	S	170912	25418	192186	0.009468
Dorea sp5005	5005	S	79438	2379	80749	0.003978
Coprococcus sp5006	5006	S	107523	1501	114135	0.005623
Lachnospira sp5007	5007	S	867952	102196	955126	0.047053
Collinsella sp5009	5009	S	20246	1999	21337	0.001051
Holdemania sp5011	5011	S	306388	19468	343338	0.016914
Lactobacillus sp5012	5012	S	55102	6867	63670	0.003137
Streptococcus sp5013	5013	S	32603	3744	35225	0.001735
Enterobacter sp5014	5014	S	213583	11713	240701	0.011858
Citrobacter sp5016	5016	S	159561	684	177264	0.008733
Proteus sp5017	5017	S	152666	20413	169412	0.008346
Haemophilus sp5018	5018	S	387680	30606	393746	0.019397
Desulfovibrio sp5019	5019	S	69889	351	76105	0.003749
Bilophila sp5020	5020	S	124572	247	126871	0.00625
Sutterella sp5021	5021	S	200775	14856	202453	0.009974
Parasutterella sp5022	5022	S	1066768	164086	1183602	0.058309
Subdoligranulum sp5024	5024	S	130592	13341	152980	0.007536
Butyrivibrio sp5025	5025	S	416307	14689	446519	0.021997
Odoribacter sp5026	5026	S	124860	13360	136559	0.006727
Barnesiella sp5027	5027	S	388866	43	405462	0.019975
Christensenella sp5028	5028	S	372267	9274	375827	0.018515
Methanobrevibacter sp5029	5029	S	146946	6561	166034	0.008179
Granulicatella sp5031	5031	S	122487	2642	143148	0.007052
Rothia sp5032	5032	S	270816	12831	271372	0.013369
Actinomyces sp5033	5033	S	163432	3024	188439	0.009283
Corynebacterium sp5034	5034	S	543937	72787	567832	0.027973
Peptoniphilus sp5036	5036	S	330479	1166	371934	0.018323
Propionibacterium sp5037	5037	S	244995	2350	277312	0.013661
Dialister sp5039	5039	S	88922	6649	102740	0.005061
Mitsuokella sp5040	5040	S	55319	4840	62544	0.003081
Phascolarctobacterium sp5041	5041	S	29998	4765	33781	0.001664
Pseudoflavonifractor sp5042	5042	S	255493	22033	259150	0.012767
Flavonifractor sp5043	5043	S	57741	3655	63932	0.00315
