name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	856388	78164	915119	0.056117
Roseburia hominis	301301	S	85619	2712	93925	0.00576
Eubacterium rectale	39491	S	279554	5539	290667	0.017824
Bifidobacterium adolescentis	1680	S	245494	30211	283618	0.017392
Bifidobacterium longum	216816	S	287004	14985	325651	0.01997
Akkermansia muciniphila	239935	S	90933	6652	98703	0.006053
Prevotella copri	165179	S	846400	82769	885091	0.054275
Escherichia coli	562	S	179366	20294	189473	0.011619
Enterococcus faecalis	1351	S	81429	4404	91095	0.005586
Fusobacterium nucleatum	851	S	51201	2578	55915	0.003429
Ruminococcus gnavus	33038	S	108470	13275	108716	0.006667
Bacteroides fragilis	817	S	313588	300	358510	0.021984
Clostridium difficile	1496	S	23575	1007	27528	0.001688
Veillonella parvula	29466	S	59049	5447	68096	0.004176
Streptococcus salivarius	1304	S	180327	20362	184252	0.011299
Bacteroides sp5000	5000	S	337628	22918	382651	0.023465
Parabacteroides sp5001	5001	S	280464	36801	302817	0.018569
Alistipes sp5002	5002	S	325254	45481	333298	0.020438
Blautia sp5003	5003	S	124549	14001	134447	0.008245
Clostridium sp5004	5004	S	54916	5372	63358	0.003885
Dorea sp5005	5005	S	79035	5768	89074	0.005462
Coprococcus sp5006	5006	S	161090	6570	170447	0.010452
Lachnospira sp5007	5007	S	406857	728	474288	0.029084
Anaerostipes sp5008	5008	S	102936	151	120630	0.007397
Collinsella sp5009	5009	S	10982	455	12674	0.000777
Eggerthella sp5010	5010	S	20992	3518	23769	0.001458
Holdemania sp5011	5011	S	55122	1175	61527	0.003773
Lactobacillus sp5012	5012	S	20515	2833	22016	0.00135
Streptococcus sp5013	5013	S	125844	5872	132230	0.008109
Enterobacter sp5014	5014	S	114603	13153	122670	0.007522
Klebsiella sp5015	5015	S	183122	19087	190909	0.011707
Citrobacter sp5016	5016	S	321664	42811	328021	0.020115
Proteus sp5017	5017	S	50643	3485	54058	0.003315
Haemophilus sp5018	5018	S	480878	62372	508202	0.031164
Desulfovibrio sp5019	5019	S	178579	31230	209884	0.01287
Sutterella sp5021	5021	S	110129	8853	125513	0.007697
Oscillibacter sp5023	5023	S	156136	5373	159192	0.009762
Subdoligranulum sp5024	5024	S	75817	1636	82275	0.005045
Butyrivibrio sp5025	5025	S	252258	7371	277432	0.017013
Barnesiella sp5027	5027	S	95321	5903	105381	0.006462
Christensenella sp5028	5028	S	37763	5640	37802	0.002318
Methanobrevibacter sp5029	5029	S	31505	3956	36329	0.002228
Gemella sp5030	5030	S	198483	1047	231397	0.01419
Granulicatella sp5031	5031	S	67012	11209	77399	0.004746
Rothia sp5032	5032	S	166083	4874	167570	0.010276
Actinomyces sp5033	5033	S	228908	9447	261834	0.016056
Finegoldia sp5035	5035	S	244280	22510	263423	0.016154
Peptoniphilus sp5036	5036	S	70621	9074	79957	0.004903
Propionibacterium sp5037	5037	S	90364	13943	100805	0.006182
Megasphaera sp5038	5038	S	89029	6143	93863	0.005756
Dialister sp5039	5039	S	208329	26390	215108	0.013191
Mitsuokella sp5040	5040	S	163677	9333	183172	0.011232
Pseudoflavonifractor sp5042	5042	S	415888	10376	419923	0.02575
Flavonifractor sp5043	5043	S	66763	5310	77965	0.004781
