name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	1996772	73497	2291778	0.12395
Roseburia intestinalis	166486	S	315522	37338	364417	0.019709
Roseburia hominis	301301	S	441725	66363	465411	0.025172
Eubacterium rectale	39491	S	379074	3084	395095	0.021369
Bifidobacterium adolescentis	1680	S	284627	37481	289657	0.015666
Bifidobacterium longum	216816	S	410433	39354	447828	0.024221
Prevotella copri	165179	S	508683	40762	510515	0.027611
Escherichia coli	562	S	163582	2066	165939	0.008975
Enterococcus faecalis	1351	S	38345	2885	43641	0.00236
Fusobacterium nucleatum	851	S	51075	6668	54468	0.002946
Ruminococcus gnavus	33038	S	146567	8564	146826	0.007941
Bacteroides fragilis	817	S	222453	31190	259538	0.014037
Clostridium difficile	1496	S	16435	520	17472	0.000945
Veillonella parvula	29466	S	251498	30299	272119	0.014717
Parabacteroides sp5001	5001	S	167906	13032	173895	0.009405
Alistipes sp5002	5002	S	70257	11455	78432	0.004242
Blautia sp5003	5003	S	504052	32507	530859	0.028711
Dorea sp5005	5005	S	23781	2923	26659	0.001442
Coprococcus sp5006	5006	S	61847	1797	69780	0.003774
Lachnospira sp5007	5007	S	363161	16995	390717	0.021132
Anaerostipes sp5008	5008	S	135830	2544	143837	0.007779
Eggerthella sp5010	5010	S	74562	3341	78632	0.004253
Holdemania sp5011	5011	S	74084	1659	87154	0.004714
Lactobacillus sp5012	5012	S	16293	2141	16457	0.00089
Streptococcus sp5013	5013	S	83331	10993	94156	0.005092
Enterobacter sp5014	5014	S	28603	4425	30388	0.001644
Klebsiella sp5015	5015	S	136452	15394	150603	0.008145
Citrobacter sp5016	5016	S	60785	4203	70720	0.003825
Proteus sp5017	5017	S	52104	4235	52389	0.002833
Haemophilus sp5018	5018	S	127697	2579	142969	0.007732
Desulfovibrio sp5019	5019	S	55422	5610	58002	0.003137
Bilophila sp5020	5020	S	59470	9362	65634	0.00355
Sutterella sp5021	5021	S	81819	4368	95882	0.005186
Parasutterella sp5022	5022	S	541535	26382	548024	0.02964
Oscillibacter sp5023	5023	S	484833	43759	546083	0.029535
Subdoligranulum sp5024	5024	S	80070	1272	82244	0.004448
Butyrivibrio sp5025	5025	S	328169	39475	330999	0.017902
Odoribacter sp5026	5026	S	29169	3551	33254	0.001799
Barnesiella sp5027	5027	S	95296	6335	104982	0.005678
Christensenella sp5028	5028	S	71855	10725	74270	0.004017
Methanobrevibacter sp5029	5029	S	43728	3174	50321	0.002722
Gemella sp5030	5030	S	350538	21457	380135	0.020559
Granulicatella sp5031	5031	S	99334	861	109825	0.00594
Rothia sp5032	5032	S	149542	10269	156945	0.008488
Actinomyces sp5033	5033	S	64805	9022	73708	0.003986
Corynebacterium sp5034	5034	S	109857	8259	113210	0.006123
Finegoldia sp5035	5035	S	45624	4880	50990	0.002758
Peptoniphilus sp5036	5036	S	126250	5003	141343	0.007644
Megasphaera sp5038	5038	S	51931	327	54119	0.002927
Mitsuokella sp5040	5040	S	133638	157	154636	0.008363
Phascolarctobacterium sp5041	5041	S	23860	282	27334	0.001478
Pseudoflavonifractor sp5042	5042	S	147461	6392	147554	0.00798
Flavonifractor sp5043	5043	S	144293	5979	165400	0.008946
