name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	1605059	139416	1675253	0.097163
Roseburia intestinalis	166486	S	887568	82459	971686	0.056357
Eubacterium rectale	39491	S	364239	56527	402556	0.023348
Bifidobacterium adolescentis	1680	S	366455	43129	426987	0.024765
Bifidobacterium longum	216816	S	574278	70396	583799	0.03386
Akkermansia muciniphila	239935	S	226020	11432	257542	0.014937
Prevotella copri	165179	S	549941	7259	574317	0.03331
Escherichia coli	562	S	183937	20411	189279	0.010978
Enterococcus faecalis	1351	S	44009	689	45870	0.00266
Fusobacterium nucleatum	851	S	42182	4491	44047	0.002555
Ruminococcus gnavus	33038	S	121792	779	124962	0.007248
Bacteroides fragilis	817	S	179115	11742	209868	0.012172
Clostridium difficile	1496	S	69466	6669	79634	0.004619
Veillonella parvula	29466	S	201100	11957	203625	0.01181
Streptococcus salivarius	1304	S	55750	2	57078	0.00331
Bacteroides sp5000	5000	S	87792	457	100303	0.005817
Parabacteroides sp5001	5001	S	161422	24454	179513	0.010412
Alistipes sp5002	5002	S	131910	13878	152578	0.008849
Blautia sp5003	5003	S	211662	32466	230638	0.013377
Clostridium sp5004	5004	S	72122	2641	83054	0.004817
Dorea sp5005	5005	S	61373	4675	71830	0.004166
Coprococcus sp5006	5006	S	51510	7537	57768	0.00335
Lachnospira sp5007	5007	S	171380	16780	182176	0.010566
Anaerostipes sp5008	5008	S	143652	2128	154500	0.008961
Collinsella sp5009	5009	S	18922	3094	20641	0.001197
Eggerthella sp5010	5010	S	14747	2026	15121	0.000877
Lactobacillus sp5012	5012	S	20727	329	21292	0.001235
Streptococcus sp5013	5013	S	31337	16	35445	0.002056
Enterobacter sp5014	5014	S	234332	4262	261670	0.015177
Klebsiella sp5015	5015	S	232008	25588	251931	0.014612
Citrobacter sp5016	5016	S	623374	71400	635334	0.036849
Proteus sp5017	5017	S	114483	934	115548	0.006702
Haemophilus sp5018	5018	S	107126	12475	125761	0.007294
Desulfovibrio sp5019	5019	S	41418	1762	46360	0.002689
Bilophila sp5020	5020	S	64998	2923	72250	0.00419
Sutterella sp5021	5021	S	119851	8538	129329	0.007501
Parasutterella sp5022	5022	S	162499	17691	175322	0.010168
Oscillibacter sp5023	5023	S	80908	3358	89099	0.005168
Subdoligranulum sp5024	5024	S	208998	12522	238875	0.013854
Butyrivibrio sp5025	5025	S	149637	17668	155666	0.009028
Odoribacter sp5026	5026	S	56789	2098	59776	0.003467
Barnesiella sp5027	5027	S	51920	4737	55340	0.00321
Christensenella sp5028	5028	S	86336	7719	93576	0.005427
Methanobrevibacter sp5029	5029	S	145730	13380	157756	0.00915
Gemella sp5030	5030	S	140854	2419	147133	0.008534
Granulicatella sp5031	5031	S	64706	1370	67231	0.003899
Rothia sp5032	5032	S	277107	47176	322220	0.018688
Actinomyces sp5033	5033	S	93880	856	94490	0.00548
Corynebacterium sp5034	5034	S	159169	4851	173673	0.010073
Finegoldia sp5035	5035	S	278350	37561	301636	0.017495
Peptoniphilus sp5036	5036	S	92019	8819	92706	0.005377
Propionibacterium sp5037	5037	S	277363	27794	307129	0.017813
Megasphaera sp5038	5038	S	49497	7532	55193	0.003201
Dialister sp5039	5039	S	95810	8181	97710	0.005667
Mitsuokella sp5040	5040	S	106190	5199	118158	0.006853
Phascolarctobacterium sp5041	5041	S	26697	3821	31225	0.001811
Flavonifractor sp5043	5043	S	37835	2011	41235	0.002392
