name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	930336	3541	1066593	0.065479
Roseburia intestinalis	166486	S	706914	65398	748651	0.04596
Roseburia hominis	301301	S	668668	89134	669985	0.041131
Eubacterium rectale	39491	S	392021	23968	430024	0.026399
Bifidobacterium adolescentis	1680	S	552939	14131	618136	0.037948
Bifidobacterium longum	216816	S	240106	5471	275759	0.016929
Akkermansia muciniphila	239935	S	244554	10174	282032	0.017314
Prevotella copri	165179	S	211441	34037	235984	0.014487
Escherichia coli	562	S	158975	25140	169706	0.010418
Enterococcus faecalis	1351	S	50433	3821	55674	0.003418
Fusobacterium nucleatum	851	S	87647	2675	97528	0.005987
Ruminococcus gnavus	33038	S	424206	69005	486769	0.029883
Bacteroides fragilis	817	S	255339	1723	255846	0.015707
Clostridium difficile	1496	S	21123	1537	24209	0.001486
Veillonella parvula	29466	S	52746	3279	60079	0.003688
Streptococcus salivarius	1304	S	150549	11858	173172	0.010631
Bacteroides sp5000	5000	S	119238	7066	133862	0.008218
Parabacteroides sp5001	5001	S	143801	10686	166409	0.010216
Alistipes sp5002	5002	S	545999	26999	547374	0.033604
Blautia sp5003	5003	S	165848	21372	168981	0.010374
Lachnospira sp5007	5007	S	81323	9708	81913	0.005029
Collinsella sp5009	5009	S	65025	8804	68524	0.004207
Eggerthella sp5010	5010	S	48857	3937	56722	0.003482
Holdemania sp5011	5011	S	244058	28219	244452	0.015007
Lactobacillus sp5012	5012	S	15688	1845	15778	0.000969
Streptococcus sp5013	5013	S	105036	11344	107046	0.006572
Enterobacter sp5014	5014	S	248397	20219	257654	0.015818
Klebsiella sp5015	5015	S	121598	15221	122996	0.007551
Proteus sp5017	5017	S	27859	2879	28528	0.001751
Haemophilus sp5018	5018	S	245871	1467	274506	0.016852
Desulfovibrio sp5019	5019	S	56444	5010	56995	0.003499
Bilophila sp5020	5020	S	44450	1111	49681	0.00305
Sutterella sp5021	5021	S	234008	30133	240150	0.014743
Parasutterella sp5022	5022	S	62656	6236	64450	0.003957
Subdoligranulum sp5024	5024	S	83537	4210	92317	0.005667
Odoribacter sp5026	5026	S	40052	5883	47049	0.002888
Barnesiella sp5027	5027	S	83710	9176	96986	0.005954
Christensenella sp5028	5028	S	174125	14862	188119	0.011549
Methanobrevibacter sp5029	5029	S	38646	185	39076	0.002399
Gemella sp5030	5030	S	499922	4040	517513	0.03177
Granulicatella sp5031	5031	S	51520	3881	60207	0.003696
Rothia sp5032	5032	S	320365	44123	372752	0.022883
Actinomyces sp5033	5033	S	284115	1331	305686	0.018766
Corynebacterium sp5034	5034	S	207476	22272	242358	0.014878
Finegoldia sp5035	5035	S	86476	5849	89067	0.005468
Propionibacterium sp5037	5037	S	43120	5543	46208	0.002837
Megasphaera sp5038	5038	S	179396	6423	190528	0.011697
Phascolarctobacterium sp5041	5041	S	15261	1526	16202	0.000995
Pseudoflavonifractor sp5042	5042	S	178260	17291	185666	0.011398
Flavonifractor sp5043	5043	S	51784	1539	52025	0.003194
