name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	563009	30991	591255	0.024717
Roseburia intestinalis	166486	S	1308781	83330	1484058	0.062039
Roseburia hominis	301301	S	513686	7638	576649	0.024106
Eubacterium rectale	39491	S	336570	44195	345370	0.014438
Bifidobacterium adolescentis	1680	S	542193	5966	614062	0.02567
Bifidobacterium longum	216816	S	566499	18707	589597	0.024647
Akkermansia muciniphila	239935	S	268938	2846	295857	0.012368
Escherichia coli	562	S	209765	28224	237307	0.00992
Enterococcus faecalis	1351	S	174288	5577	179557	0.007506
Fusobacterium nucleatum	851	S	50274	1124	55837	0.002334
Ruminococcus gnavus	33038	S	216893	37485	251872	0.010529
Bacteroides fragilis	817	S	1024975	87885	1080811	0.045182
Clostridium difficile	1496	S	52746	6889	54670	0.002285
Veillonella parvula	29466	S	58391	149	60135	0.002514
Streptococcus salivarius	1304	S	179846	20121	204832	0.008563
Bacteroides sp5000	5000	S	272499	44307	300651	0.012568
Parabacteroides sp5001	5001	S	207867	31401	218851	0.009149
Alistipes sp5002	5002	S	449918	66241	511145	0.021368
Blautia sp5003	5003	S	122197	20194	136047	0.005687
Clostridium sp5004	5004	S	209104	18537	239345	0.010005
Dorea sp5005	5005	S	28923	1937	29851	0.001248
Coprococcus sp5006	5006	S	73167	11763	79511	0.003324
Lachnospira sp5007	5007	S	465905	46198	509857	0.021314
Anaerostipes sp5008	5008	S	192413	28324	224211	0.009373
Collinsella sp5009	5009	S	34116	2182	36017	0.001506
Eggerthella sp5010	5010	S	62885	6547	73773	0.003084
Lactobacillus sp5012	5012	S	49236	10	57796	0.002416
Streptococcus sp5013	5013	S	128783	3874	136653	0.005713
Enterobacter sp5014	5014	S	432665	48245	492346	0.020582
Klebsiella sp5015	5015	S	258019	14136	300703	0.01257
Citrobacter sp5016	5016	S	91338	9111	104696	0.004377
Proteus sp5017	5017	S	174476	19881	183802	0.007684
Haemophilus sp5018	5018	S	524846	7910	590854	0.0247
Desulfovibrio sp5019	5019	S	397854	29510	461654	0.019299
Sutterella sp5021	5021	S	221441	7291	223255	0.009333
Parasutterella sp5022	5022	S	256474	4368	288657	0.012067
Oscillibacter sp5023	5023	S	266168	28851	282907	0.011827
Subdoligranulum sp5024	5024	S	198683	27116	209927	0.008776
Butyrivibrio sp5025	5025	S	201939	4412	218795	0.009146
Odoribacter sp5026	5026	S	126965	14120	142113	0.005941
Barnesiella sp5027	5027	S	64161	5425	68114	0.002847
Methanobrevibacter sp5029	5029	S	226715	22758	238035	0.009951
Gemella sp5030	5030	S	809957	72487	824637	0.034473
Granulicatella sp5031	5031	S	115342	4450	119305	0.004987
Rothia sp5032	5032	S	809484	115103	850542	0.035556
Actinomyces sp5033	5033	S	393707	50680	433666	0.018129
Corynebacterium sp5034	5034	S	256484	2388	267528	0.011184
Finegoldia sp5035	5035	S	51252	1067	54685	0.002286
Peptoniphilus sp5036	5036	S	94175	11518	94639	0.003956
Propionibacterium sp5037	5037	S	124502	2624	143691	0.006007
Megasphaera sp5038	5038	S	149383	8228	159059	0.006649
Dialister sp5039	5039	S	370553	35202	433276	0.018112
Mitsuokella sp5040	5040	S	94159	1571	103680	0.004334
Pseudoflavonifractor sp5042	5042	S	246060	34808	253595	0.010601
Flavonifractor sp5043	5043	S	84057	10762	87243	0.003647
