name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Roseburia intestinalis	166486	S	798072	125769	843094	0.052566
Roseburia hominis	301301	S	171549	16340	201396	0.012557
Eubacterium rectale	39491	S	554261	81199	592128	0.036919
Bifidobacterium adolescentis	1680	S	716766	63134	774129	0.048267
Bifidobacterium longum	216816	S	274057	12005	297647	0.018558
Akkermansia muciniphila	239935	S	141738	10121	165118	0.010295
Prevotella copri	165179	S	504882	48596	588517	0.036694
Enterococcus faecalis	1351	S	135761	12126	151504	0.009446
Fusobacterium nucleatum	851	S	35916	5774	41276	0.002574
Ruminococcus gnavus	33038	S	503964	14593	512066	0.031927
Bacteroides fragilis	817	S	147589	15065	163712	0.010207
Clostridium difficile	1496	S	69318	4265	80197	0.005
Veillonella parvula	29466	S	77604	12005	87425	0.005451
Streptococcus salivarius	1304	S	57866	5146	59176	0.00369
Bacteroides sp5000	5000	S	212128	31910	228574	0.014251
Parabacteroides sp5001	5001	S	208077	30564	210208	0.013106
Alistipes sp5002	5002	S	112581	3120	129582	0.008079
Blautia sp5003	5003	S	80664	6885	84775	0.005286
Clostridium sp5004	5004	S	153138	1669	179578	0.011197
Dorea sp5005	5005	S	78369	10388	79708	0.00497
Coprococcus sp5006	5006	S	81178	12007	89840	0.005601
Lachnospira sp5007	5007	S	234060	30131	249252	0.015541
Anaerostipes sp5008	5008	S	204453	3804	223663	0.013945
Collinsella sp5009	5009	S	26055	1953	28474	0.001775
Eggerthella sp5010	5010	S	21509	365	23063	0.001438
Holdemania sp5011	5011	S	84237	3088	84346	0.005259
Streptococcus sp5013	5013	S	52530	4718	59708	0.003723
Enterobacter sp5014	5014	S	234501	16624	251995	0.015712
Klebsiella sp5015	5015	S	281165	22561	291127	0.018152
Citrobacter sp5016	5016	S	240014	27676	254940	0.015895
Proteus sp5017	5017	S	58715	5886	68773	0.004288
Haemophilus sp5018	5018	S	90265	239	91861	0.005727
Desulfovibrio sp5019	5019	S	95191	14520	104517	0.006517
Bilophila sp5020	5020	S	126217	9618	139780	0.008715
Sutterella sp5021	5021	S	55160	1653	55314	0.003449
Parasutterella sp5022	5022	S	99137	14864	115304	0.007189
Oscillibacter sp5023	5023	S	153767	11107	156862	0.00978
Subdoligranulum sp5024	5024	S	182495	24677	196839	0.012273
Butyrivibrio sp5025	5025	S	101012	4181	105136	0.006555
Odoribacter sp5026	5026	S	41091	3468	48199	0.003005
Barnesiella sp5027	5027	S	100139	13747	102305	0.006379
Christensenella sp5028	5028	S	81890	10875	82432	0.00514
Methanobrevibacter sp5029	5029	S	53620	3816	57225	0.003568
Gemella sp5030	5030	S	176282	20246	182444	0.011375
Granulicatella sp5031	5031	S	61821	870	66423	0.004141
Rothia sp5032	5032	S	292295	20199	295573	0.018429
Actinomyces sp5033	5033	S	218959	22860	242078	0.015093
Corynebacterium sp5034	5034	S	134315	4463	141225	0.008805
Finegoldia sp5035	5035	S	330290	14724	338572	0.02111
Peptoniphilus sp5036	5036	S	121291	8421	138145	0.008613
Propionibacterium sp5037	5037	S	321001	48444	334521	0.020857
Megasphaera sp5038	5038	S	50379	7315	51863	0.003234
Mitsuokella sp5040	5040	S	102069	1251	117174	0.007306
Pseudoflavonifractor sp5042	5042	S	172046	8024	184272	0.011489
Flavonifractor sp5043	5043	S	47295	4893	48548	0.003027
