name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	187754	20709	210223	0.010056
Roseburia intestinalis	166486	S	254862	23186	256071	0.012249
Roseburia hominis	301301	S	39660	521	46034	0.002202
Eubacterium rectale	39491	S	229831	10324	231518	0.011075
Bifidobacterium adolescentis	1680	S	459213	47769	531614	0.02543
Bifidobacterium longum	216816	S	106516	10981	112889	0.0054
Akkermansia muciniphila	239935	S	87298	222	98076	0.004692
Prevotella copri	165179	S	238614	9027	239873	0.011475
Escherichia coli	562	S	1158754	129095	1217942	0.058262
Enterococcus faecalis	1351	S	331019	16502	351587	0.016819
Fusobacterium nucleatum	851	S	153599	15460	172455	0.00825
Ruminococcus gnavus	33038	S	727530	105434	742443	0.035516
Bacteroides fragilis	817	S	1794448	48129	2072384	0.099135
Streptococcus salivarius	1304	S	155883	17366	157187	0.007519
Bacteroides sp5000	5000	S	125487	3882	127729	0.00611
Parabacteroides sp5001	5001	S	316697	35503	337581	0.016149
Alistipes sp5002	5002	S	554323	35647	582262	0.027853
Blautia sp5003	5003	S	238540	24472	279876	0.013388
Clostridium sp5004	5004	S	144816	11014	163088	0.007802
Dorea sp5005	5005	S	50325	3031	50648	0.002423
Coprococcus sp5006	5006	S	34207	991	35050	0.001677
Lachnospira sp5007	5007	S	344607	53112	362413	0.017336
Anaerostipes sp5008	5008	S	259137	373	299483	0.014326
Collinsella sp5009	5009	S	22040	334	24087	0.001152
Eggerthella sp5010	5010	S	40614	5790	42207	0.002019
Holdemania sp5011	5011	S	211764	8980	231411	0.01107
Lactobacillus sp5012	5012	S	21608	2562	23612	0.00113
Enterobacter sp5014	5014	S	460752	47851	541197	0.025889
Klebsiella sp5015	5015	S	170524	17315	181025	0.00866
Proteus sp5017	5017	S	53793	6500	60694	0.002903
Haemophilus sp5018	5018	S	276525	9569	320161	0.015315
Bilophila sp5020	5020	S	77531	8751	78983	0.003778
Sutterella sp5021	5021	S	389295	17021	456886	0.021856
Parasutterella sp5022	5022	S	377677	17390	428128	0.02048
Oscillibacter sp5023	5023	S	158177	1672	178302	0.008529
Subdoligranulum sp5024	5024	S	65254	7805	71018	0.003397
Odoribacter sp5026	5026	S	34035	3650	36169	0.00173
Barnesiella sp5027	5027	S	165049	27322	191435	0.009158
Christensenella sp5028	5028	S	32039	3965	32835	0.001571
Methanobrevibacter sp5029	5029	S	146126	21001	150112	0.007181
Gemella sp5030	5030	S	133604	4308	143408	0.00686
Granulicatella sp5031	5031	S	183560	21701	194755	0.009316
Rothia sp5032	5032	S	251413	20469	261702	0.012519
Actinomyces sp5033	5033	S	97396	6302	113216	0.005416
Corynebacterium sp5034	5034	S	184573	16375	186794	0.008936
Finegoldia sp5035	5035	S	215017	9316	231015	0.011051
Peptoniphilus sp5036	5036	S	171653	25465	189616	0.009071
Propionibacterium sp5037	5037	S	204289	25398	215048	0.010287
Megasphaera sp5038	5038	S	214732	22109	233875	0.011188
Dialister sp5039	5039	S	80901	9648	91181	0.004362
Mitsuokella sp5040	5040	S	224502	16302	245589	0.011748
Phascolarctobacterium sp5041	5041	S	35053	5196	37000	0.00177
Pseudoflavonifractor sp5042	5042	S	102038	14685	118705	0.005678
Flavonifractor sp5043	5043	S	32036	2386	35841	0.001714
