name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	817666	20991	824571	0.039682
Roseburia intestinalis	166486	S	336628	14063	395367	0.019027
Roseburia hominis	301301	S	350843	25087	396320	0.019073
Eubacterium rectale	39491	S	215978	28827	218589	0.010519
Bifidobacterium adolescentis	1680	S	383205	25713	417192	0.020077
Bifidobacterium longum	216816	S	882590	34535	945716	0.045512
Akkermansia muciniphila	239935	S	412809	67797	481227	0.023159
Prevotella copri	165179	S	796011	26980	906614	0.04363
Escherichia coli	562	S	173285	13876	188176	0.009056
Fusobacterium nucleatum	851	S	103476	2692	121342	0.005839
Ruminococcus gnavus	33038	S	180923	20464	199536	0.009602
Bacteroides fragilis	817	S	359437	25792	406483	0.019562
Veillonella parvula	29466	S	230000	32836	246358	0.011856
Streptococcus salivarius	1304	S	507025	11299	564044	0.027144
Bacteroides sp5000	5000	S	529115	64182	573014	0.027576
Parabacteroides sp5001	5001	S	74038	5443	85448	0.004112
Alistipes sp5002	5002	S	220287	1300	258351	0.012433
Blautia sp5003	5003	S	119536	5796	129587	0.006236
Clostridium sp5004	5004	S	377700	34926	386685	0.018609
Dorea sp5005	5005	S	54988	3664	59894	0.002882
Coprococcus sp5006	5006	S	107675	706	116458	0.005604
Lachnospira sp5007	5007	S	245430	37352	249442	0.012004
Anaerostipes sp5008	5008	S	108595	2235	123795	0.005958
Collinsella sp5009	5009	S	19847	2258	22773	0.001096
Eggerthella sp5010	5010	S	26642	3569	28068	0.001351
Lactobacillus sp5012	5012	S	15316	1073	15909	0.000766
Streptococcus sp5013	5013	S	44109	4834	46829	0.002254
Enterobacter sp5014	5014	S	102733	7907	110834	0.005334
Klebsiella sp5015	5015	S	289175	25540	305436	0.014699
Citrobacter sp5016	5016	S	269843	26205	285069	0.013719
Proteus sp5017	5017	S	122388	12319	127770	0.006149
Haemophilus sp5018	5018	S	447348	49301	482077	0.023199
Desulfovibrio sp5019	5019	S	93622	3699	102050	0.004911
Bilophila sp5020	5020	S	73915	7302	86938	0.004184
Sutterella sp5021	5021	S	832102	129263	886537	0.042664
Parasutterella sp5022	5022	S	346039	22624	382693	0.018417
Oscillibacter sp5023	5023	S	281464	3382	319748	0.015388
Subdoligranulum sp5024	5024	S	238559	9249	246976	0.011885
Butyrivibrio sp5025	5025	S	230024	25209	244360	0.01176
Odoribacter sp5026	5026	S	51697	7381	56151	0.002702
Barnesiella sp5027	5027	S	144079	6717	157194	0.007565
Christensenella sp5028	5028	S	149121	19576	151484	0.00729
Methanobrevibacter sp5029	5029	S	63691	283	72823	0.003505
Gemella sp5030	5030	S	116736	5810	135190	0.006506
Granulicatella sp5031	5031	S	49309	4148	49516	0.002383
Rothia sp5032	5032	S	454562	66884	501731	0.024145
Actinomyces sp5033	5033	S	87431	4503	95244	0.004584
Corynebacterium sp5034	5034	S	356036	45772	359204	0.017286
Finegoldia sp5035	5035	S	97397	7663	99736	0.0048
Peptoniphilus sp5036	5036	S	109249	3035	112813	0.005429
Dialister sp5039	5039	S	117138	18469	125150	0.006023
Mitsuokella sp5040	5040	S	76689	10225	85817	0.00413
Phascolarctobacterium sp5041	5041	S	37702	243	40823	0.001965
Pseudoflavonifractor sp5042	5042	S	115523	3028	119781	0.005764
Flavonifractor sp5043	5043	S	183444	2495	194179	0.009345
