name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	566608	66199	596270	0.031327
Roseburia hominis	301301	S	451808	69271	492585	0.025879
Bifidobacterium adolescentis	1680	S	215210	15390	224061	0.011772
Bifidobacterium longum	216816	S	893460	99233	955164	0.050182
Akkermansia muciniphila	239935	S	159855	22442	170271	0.008946
Prevotella copri	165179	S	149022	7419	164933	0.008665
Escherichia coli	562	S	263603	1693	298844	0.015701
Enterococcus faecalis	1351	S	48242	7351	56328	0.002959
Fusobacterium nucleatum	851	S	84663	8813	88955	0.004674
Ruminococcus gnavus	33038	S	147700	19968	156762	0.008236
Bacteroides fragilis	817	S	412820	58455	447725	0.023523
Clostridium difficile	1496	S	75424	11598	83442	0.004384
Veillonella parvula	29466	S	63544	2567	66553	0.003497
Bacteroides sp5000	5000	S	173625	14853	185773	0.00976
Parabacteroides sp5001	5001	S	474188	48299	544615	0.028613
Blautia sp5003	5003	S	134201	1174	149575	0.007858
Clostridium sp5004	5004	S	224756	21794	226501	0.0119
Coprococcus sp5006	5006	S	67030	6925	68291	0.003588
Lachnospira sp5007	5007	S	89599	7626	99164	0.00521
Anaerostipes sp5008	5008	S	534426	80913	561749	0.029513
Collinsella sp5009	5009	S	11827	1747	13318	0.0007
Eggerthella sp5010	5010	S	40868	4157	41339	0.002172
Holdemania sp5011	5011	S	174400	10516	176217	0.009258
Streptococcus sp5013	5013	S	30186	3204	30401	0.001597
Enterobacter sp5014	5014	S	390127	61975	455596	0.023936
Klebsiella sp5015	5015	S	260421	19488	282247	0.014829
Citrobacter sp5016	5016	S	207650	4976	222093	0.011668
Proteus sp5017	5017	S	41741	5654	45353	0.002383
Haemophilus sp5018	5018	S	223204	10720	261878	0.013759
Desulfovibrio sp5019	5019	S	46095	3380	54207	0.002848
Bilophila sp5020	5020	S	194733	24323	203007	0.010666
Parasutterella sp5022	5022	S	163937	15087	165296	0.008684
Oscillibacter sp5023	5023	S	145964	22781	164339	0.008634
Subdoligranulum sp5024	5024	S	99485	8871	102955	0.005409
Butyrivibrio sp5025	5025	S	225308	32732	236087	0.012404
Barnesiella sp5027	5027	S	206416	11920	215723	0.011334
Christensenella sp5028	5028	S	31457	198	32873	0.001727
Methanobrevibacter sp5029	5029	S	133659	8972	147208	0.007734
Gemella sp5030	5030	S	872517	3452	997134	0.052388
Granulicatella sp5031	5031	S	78952	8910	90749	0.004768
Rothia sp5032	5032	S	640545	97850	660123	0.034682
Actinomyces sp5033	5033	S	134230	13380	148822	0.007819
Corynebacterium sp5034	5034	S	98255	2485	99191	0.005211
Finegoldia sp5035	5035	S	114485	13538	119549	0.006281
Peptoniphilus sp5036	5036	S	245194	36689	284005	0.014921
Propionibacterium sp5037	5037	S	85786	442	88261	0.004637
Megasphaera sp5038	5038	S	43849	374	50772	0.002667
Dialister sp5039	5039	S	240875	20441	267576	0.014058
Mitsuokella sp5040	5040	S	84560	3651	90940	0.004778
Phascolarctobacterium sp5041	5041	S	42606	2385	43179	0.002269
Pseudoflavonifractor sp5042	5042	S	170645	8968	199158	0.010463
Flavonifractor sp5043	5043	S	81204	5348	87348	0.004589
