name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	447299	23974	472879	0.017797
Roseburia intestinalis	166486	S	468616	41872	475256	0.017886
Roseburia hominis	301301	S	115470	9029	133831	0.005037
Bifidobacterium adolescentis	1680	S	227455	28122	236084	0.008885
Bifidobacterium longum	216816	S	141288	20518	152878	0.005753
Akkermansia muciniphila	239935	S	203007	14046	228060	0.008583
Prevotella copri	165179	S	1651282	225424	1676787	0.063105
Escherichia coli	562	S	886155	119827	929999	0.035
Enterococcus faecalis	1351	S	796117	119649	922162	0.034705
Ruminococcus gnavus	33038	S	856441	25509	953622	0.035889
Clostridium difficile	1496	S	155211	10984	175201	0.006594
Veillonella parvula	29466	S	483765	26205	544978	0.02051
Streptococcus salivarius	1304	S	162521	8296	186753	0.007028
Bacteroides sp5000	5000	S	219407	15538	234449	0.008823
Parabacteroides sp5001	5001	S	128314	15927	142254	0.005354
Alistipes sp5002	5002	S	501319	57832	509457	0.019173
Blautia sp5003	5003	S	511782	63512	568773	0.021405
Clostridium sp5004	5004	S	234990	5262	269238	0.010133
Dorea sp5005	5005	S	83058	11158	92099	0.003466
Lachnospira sp5007	5007	S	541965	5797	611042	0.022996
Anaerostipes sp5008	5008	S	269987	39985	310417	0.011682
Collinsella sp5009	5009	S	15472	621	16372	0.000616
Eggerthella sp5010	5010	S	134192	11378	143784	0.005411
Holdemania sp5011	5011	S	239765	8843	252833	0.009515
Streptococcus sp5013	5013	S	83857	3972	85599	0.003221
Enterobacter sp5014	5014	S	88768	225	93037	0.003501
Klebsiella sp5015	5015	S	147401	8584	162713	0.006124
Citrobacter sp5016	5016	S	311008	3642	333871	0.012565
Proteus sp5017	5017	S	148693	5015	153527	0.005778
Haemophilus sp5018	5018	S	374411	47406	393473	0.014808
Desulfovibrio sp5019	5019	S	130976	15579	140190	0.005276
Bilophila sp5020	5020	S	114287	6420	120394	0.004531
Sutterella sp5021	5021	S	325369	14807	334974	0.012607
Parasutterella sp5022	5022	S	226260	27037	241813	0.009101
Oscillibacter sp5023	5023	S	143429	7183	158164	0.005952
Subdoligranulum sp5024	5024	S	186218	24864	202653	0.007627
Butyrivibrio sp5025	5025	S	441406	36473	446096	0.016789
Barnesiella sp5027	5027	S	262668	37493	276720	0.010414
Christensenella sp5028	5028	S	306090	12321	353951	0.013321
Methanobrevibacter sp5029	5029	S	143658	18561	150218	0.005653
Granulicatella sp5031	5031	S	614540	39103	628009	0.023635
Corynebacterium sp5034	5034	S	330540	25139	382836	0.014408
Finegoldia sp5035	5035	S	173289	8556	195894	0.007372
Peptoniphilus sp5036	5036	S	350849	4115	363258	0.013671
Propionibacterium sp5037	5037	S	242641	15978	249083	0.009374
Megasphaera sp5038	5038	S	77226	1105	82208	0.003094
Mitsuokella sp5040	5040	S	276131	4125	306607	0.011539
Phascolarctobacterium sp5041	5041	S	60241	7336	60591	0.00228
Pseudoflavonifractor sp5042	5042	S	395479	14434	430363	0.016196
Flavonifractor sp5043	5043	S	98992	5168	99991	0.003763
