name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	686666	68952	744603	0.044287
Roseburia hominis	301301	S	399669	13058	438842	0.026101
Eubacterium rectale	39491	S	316088	24390	317918	0.018909
Bifidobacterium adolescentis	1680	S	570777	36655	594505	0.03536
Bifidobacterium longum	216816	S	540450	36542	598327	0.035587
Akkermansia muciniphila	239935	S	116847	10465	128209	0.007626
Prevotella copri	165179	S	837168	67019	898712	0.053453
Escherichia coli	562	S	155029	13256	178150	0.010596
Enterococcus faecalis	1351	S	61237	1323	69957	0.004161
Fusobacterium nucleatum	851	S	39000	3575	39399	0.002343
Ruminococcus gnavus	33038	S	163699	10397	172511	0.010261
Clostridium difficile	1496	S	21277	2064	21572	0.001283
Veillonella parvula	29466	S	74079	4242	76736	0.004564
Streptococcus salivarius	1304	S	148346	18367	149242	0.008877
Bacteroides sp5000	5000	S	156046	4120	159542	0.009489
Parabacteroides sp5001	5001	S	249001	11978	279575	0.016628
Clostridium sp5004	5004	S	192535	27738	216178	0.012858
Dorea sp5005	5005	S	75447	1007	88265	0.00525
Lachnospira sp5007	5007	S	390051	13123	437725	0.026035
Anaerostipes sp5008	5008	S	212766	28782	240474	0.014303
Collinsella sp5009	5009	S	73585	68	78746	0.004684
Eggerthella sp5010	5010	S	51248	3429	56046	0.003333
Holdemania sp5011	5011	S	166661	19493	192208	0.011432
Lactobacillus sp5012	5012	S	79314	8977	83024	0.004938
Streptococcus sp5013	5013	S	12098	0	12612	0.00075
Enterobacter sp5014	5014	S	120718	14846	121559	0.00723
Klebsiella sp5015	5015	S	328029	780	332823	0.019795
Citrobacter sp5016	5016	S	268766	32973	271460	0.016146
Haemophilus sp5018	5018	S	176537	2532	180956	0.010763
Desulfovibrio sp5019	5019	S	54953	8235	57195	0.003402
Bilophila sp5020	5020	S	71568	6435	75194	0.004472
Sutterella sp5021	5021	S	209972	14065	211699	0.012591
Parasutterella sp5022	5022	S	362672	27570	385865	0.02295
Oscillibacter sp5023	5023	S	484528	5586	489459	0.029112
Subdoligranulum sp5024	5024	S	142956	15922	154520	0.00919
Butyrivibrio sp5025	5025	S	157233	14193	162300	0.009653
Odoribacter sp5026	5026	S	29930	4287	30345	0.001805
Barnesiella sp5027	5027	S	64475	4526	75002	0.004461
Christensenella sp5028	5028	S	118429	6856	138754	0.008253
Methanobrevibacter sp5029	5029	S	165023	24228	177343	0.010548
Gemella sp5030	5030	S	149503	2926	153026	0.009102
Rothia sp5032	5032	S	157633	16127	182456	0.010852
Actinomyces sp5033	5033	S	230391	9900	247781	0.014737
Corynebacterium sp5034	5034	S	149462	21109	151751	0.009026
Finegoldia sp5035	5035	S	40349	5918	44321	0.002636
Peptoniphilus sp5036	5036	S	225140	27416	248064	0.014754
Propionibacterium sp5037	5037	S	97459	1944	105774	0.006291
Megasphaera sp5038	5038	S	56385	3882	57002	0.00339
Dialister sp5039	5039	S	211271	12118	220035	0.013087
Mitsuokella sp5040	5040	S	84102	1487	98616	0.005865
Phascolarctobacterium sp5041	5041	S	33611	3762	36359	0.002163
Pseudoflavonifractor sp5042	5042	S	57955	6716	64380	0.003829
Flavonifractor sp5043	5043	S	77432	8563	81099	0.004824
