name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	270068	19899	276302	0.015098
Roseburia intestinalis	166486	S	125683	10263	138726	0.00758
Roseburia hominis	301301	S	156896	4749	167469	0.009151
Eubacterium rectale	39491	S	180418	18520	183141	0.010007
Bifidobacterium adolescentis	1680	S	163454	2581	172970	0.009451
Bifidobacterium longum	216816	S	118384	2283	125857	0.006877
Akkermansia muciniphila	239935	S	63283	5808	73431	0.004012
Prevotella copri	165179	S	505043	48995	554738	0.030312
Escherichia coli	562	S	511398	38291	592319	0.032365
Enterococcus faecalis	1351	S	280824	47454	320496	0.017512
Fusobacterium nucleatum	851	S	128926	14231	138011	0.007541
Ruminococcus gnavus	33038	S	250410	3959	278601	0.015223
Bacteroides fragilis	817	S	686017	29563	688509	0.037621
Clostridium difficile	1496	S	142216	15174	155671	0.008506
Veillonella parvula	29466	S	847897	120712	993198	0.05427
Streptococcus salivarius	1304	S	218959	9820	235317	0.012858
Bacteroides sp5000	5000	S	170360	4832	198268	0.010834
Parabacteroides sp5001	5001	S	120741	12623	122673	0.006703
Alistipes sp5002	5002	S	300771	3334	338903	0.018518
Blautia sp5003	5003	S	257103	23149	269616	0.014732
Dorea sp5005	5005	S	80026	4792	87876	0.004802
Coprococcus sp5006	5006	S	70658	8041	80064	0.004375
Lachnospira sp5007	5007	S	187618	4966	188448	0.010297
Anaerostipes sp5008	5008	S	182839	12381	194600	0.010633
Collinsella sp5009	5009	S	25134	1044	27409	0.001498
Eggerthella sp5010	5010	S	84704	6331	86986	0.004753
Holdemania sp5011	5011	S	275277	13509	295517	0.016147
Lactobacillus sp5012	5012	S	20761	304	23666	0.001293
Streptococcus sp5013	5013	S	28189	866	29452	0.001609
Enterobacter sp5014	5014	S	317193	19479	332658	0.018177
Klebsiella sp5015	5015	S	243804	18806	267222	0.014601
Citrobacter sp5016	5016	S	140726	2346	155472	0.008495
Proteus sp5017	5017	S	97833	10865	109135	0.005963
Haemophilus sp5018	5018	S	197354	8920	207770	0.011353
Desulfovibrio sp5019	5019	S	160305	5061	174432	0.009531
Bilophila sp5020	5020	S	32266	126	36602	0.002
Sutterella sp5021	5021	S	164804	5290	167397	0.009147
Parasutterella sp5022	5022	S	393603	18671	445187	0.024326
Oscillibacter sp5023	5023	S	275934	30444	317491	0.017348
Subdoligranulum sp5024	5024	S	426097	9959	494731	0.027033
Butyrivibrio sp5025	5025	S	79493	4278	83968	0.004588
Odoribacter sp5026	5026	S	85981	7518	89921	0.004913
Barnesiella sp5027	5027	S	180248	19806	202890	0.011086
Methanobrevibacter sp5029	5029	S	63810	5918	73562	0.00402
Gemella sp5030	5030	S	227926	10002	248944	0.013603
Rothia sp5032	5032	S	197502	27443	209975	0.011473
Corynebacterium sp5034	5034	S	177583	16191	177613	0.009705
Finegoldia sp5035	5035	S	155109	5753	170318	0.009306
Peptoniphilus sp5036	5036	S	170639	13811	192039	0.010493
Propionibacterium sp5037	5037	S	131859	19969	145686	0.007961
Megasphaera sp5038	5038	S	45456	2812	50215	0.002744
Dialister sp5039	5039	S	264820	36619	291804	0.015945
Mitsuokella sp5040	5040	S	37361	3632	39427	0.002154
Phascolarctobacterium sp5041	5041	S	29868	4071	33183	0.001813
Pseudoflavonifractor sp5042	5042	S	336297	51331	392983	0.021473
