name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	707102	95760	734844	0.041634
Roseburia intestinalis	166486	S	102522	12426	110182	0.006243
Roseburia hominis	301301	S	223238	13389	256298	0.014521
Eubacterium rectale	39491	S	610541	51544	672082	0.038078
Bifidobacterium adolescentis	1680	S	1386159	183741	1401065	0.079379
Bifidobacterium longum	216816	S	244712	7288	281221	0.015933
Akkermansia muciniphila	239935	S	144001	6949	159356	0.009029
Prevotella copri	165179	S	540429	77671	573573	0.032497
Escherichia coli	562	S	178285	17578	179300	0.010159
Fusobacterium nucleatum	851	S	28651	2313	29364	0.001664
Ruminococcus gnavus	33038	S	132442	11828	150289	0.008515
Clostridium difficile	1496	S	38003	4535	40721	0.002307
Veillonella parvula	29466	S	192001	12013	217446	0.01232
Streptococcus salivarius	1304	S	97459	15505	107737	0.006104
Bacteroides sp5000	5000	S	316635	39126	345449	0.019572
Parabacteroides sp5001	5001	S	80288	3322	83406	0.004725
Alistipes sp5002	5002	S	78938	11315	84356	0.004779
Blautia sp5003	5003	S	342018	52630	371243	0.021033
Clostridium sp5004	5004	S	137430	1732	155787	0.008826
Dorea sp5005	5005	S	65746	8498	66835	0.003787
Coprococcus sp5006	5006	S	59156	6035	59222	0.003355
Lachnospira sp5007	5007	S	205879	25782	207853	0.011776
Anaerostipes sp5008	5008	S	69726	6094	71393	0.004045
Collinsella sp5009	5009	S	22223	3433	24493	0.001388
Eggerthella sp5010	5010	S	85269	7533	93209	0.005281
Holdemania sp5011	5011	S	151173	13968	164872	0.009341
Lactobacillus sp5012	5012	S	32172	251	34948	0.00198
Streptococcus sp5013	5013	S	78980	5359	80403	0.004555
Enterobacter sp5014	5014	S	72767	1619	77549	0.004394
Klebsiella sp5015	5015	S	225512	9755	265150	0.015022
Citrobacter sp5016	5016	S	126714	1972	132590	0.007512
Proteus sp5017	5017	S	59161	1934	59981	0.003398
Haemophilus sp5018	5018	S	473404	14635	537539	0.030455
Desulfovibrio sp5019	5019	S	84971	11544	99721	0.00565
Bilophila sp5020	5020	S	62316	5850	63507	0.003598
Sutterella sp5021	5021	S	160050	7798	182242	0.010325
Parasutterella sp5022	5022	S	146799	22807	159324	0.009027
Subdoligranulum sp5024	5024	S	142885	17676	161070	0.009126
Butyrivibrio sp5025	5025	S	431547	21050	471164	0.026694
Odoribacter sp5026	5026	S	18800	218	20471	0.00116
Barnesiella sp5027	5027	S	93958	3535	96884	0.005489
Christensenella sp5028	5028	S	48871	522	50971	0.002888
Methanobrevibacter sp5029	5029	S	55010	1603	55384	0.003138
Gemella sp5030	5030	S	168760	20857	171782	0.009733
Granulicatella sp5031	5031	S	69959	5039	70298	0.003983
Rothia sp5032	5032	S	513927	29796	535838	0.030359
Actinomyces sp5033	5033	S	292644	22160	333439	0.018891
Corynebacterium sp5034	5034	S	203452	34256	232554	0.013176
Finegoldia sp5035	5035	S	84465	8635	97711	0.005536
Peptoniphilus sp5036	5036	S	92047	7870	97511	0.005525
Propionibacterium sp5037	5037	S	177421	3256	186892	0.010589
Megasphaera sp5038	5038	S	69602	3213	74581	0.004225
Dialister sp5039	5039	S	157361	18150	158786	0.008996
Mitsuokella sp5040	5040	S	108291	612	108740	0.006161
Phascolarctobacterium sp5041	5041	S	40804	1339	45706	0.00259
Flavonifractor sp5043	5043	S	32906	1404	38637	0.002189
