name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	332232	26700	369270	0.013482
Roseburia intestinalis	166486	S	152211	15857	173083	0.006319
Roseburia hominis	301301	S	37077	1290	41562	0.001517
Eubacterium rectale	39491	S	382546	340	412455	0.015059
Bifidobacterium adolescentis	1680	S	315150	12167	370265	0.013518
Bifidobacterium longum	216816	S	246792	4674	288475	0.010532
Akkermansia muciniphila	239935	S	116297	15542	129101	0.004713
Prevotella copri	165179	S	608348	49991	650079	0.023734
Escherichia coli	562	S	513691	80305	574584	0.020978
Enterococcus faecalis	1351	S	333278	4786	366420	0.013378
Fusobacterium nucleatum	851	S	506016	9167	536853	0.019601
Ruminococcus gnavus	33038	S	362052	30557	401485	0.014658
Bacteroides fragilis	817	S	1250481	94355	1274528	0.046533
Clostridium difficile	1496	S	95989	14963	100477	0.003668
Veillonella parvula	29466	S	560307	26548	644236	0.023521
Streptococcus salivarius	1304	S	403542	28084	443850	0.016205
Bacteroides sp5000	5000	S	114741	17134	125861	0.004595
Parabacteroides sp5001	5001	S	667852	63627	697784	0.025476
Alistipes sp5002	5002	S	217628	29999	242779	0.008864
Blautia sp5003	5003	S	205884	25532	207282	0.007568
Clostridium sp5004	5004	S	260066	29198	305876	0.011168
Dorea sp5005	5005	S	114223	5146	133179	0.004862
Coprococcus sp5006	5006	S	48567	5121	56544	0.002064
Lachnospira sp5007	5007	S	361132	6507	378947	0.013835
Anaerostipes sp5008	5008	S	299790	22605	330320	0.01206
Collinsella sp5009	5009	S	57833	1159	63879	0.002332
Eggerthella sp5010	5010	S	77565	9574	84971	0.003102
Holdemania sp5011	5011	S	199003	2780	231224	0.008442
Streptococcus sp5013	5013	S	93989	14699	104061	0.003799
Enterobacter sp5014	5014	S	126878	13591	133516	0.004875
Klebsiella sp5015	5015	S	53271	5245	58910	0.002151
Citrobacter sp5016	5016	S	300491	33670	352889	0.012884
Proteus sp5017	5017	S	197411	18378	200013	0.007302
Haemophilus sp5018	5018	S	80147	8871	81695	0.002983
Desulfovibrio sp5019	5019	S	63298	9870	72918	0.002662
Bilophila sp5020	5020	S	191794	17863	223025	0.008143
Sutterella sp5021	5021	S	843106	1699	967619	0.035328
Parasutterella sp5022	5022	S	256706	12439	281074	0.010262
Oscillibacter sp5023	5023	S	216110	20274	234165	0.008549
Subdoligranulum sp5024	5024	S	216988	4673	253325	0.009249
Odoribacter sp5026	5026	S	48946	2698	52417	0.001914
Barnesiella sp5027	5027	S	108005	11015	112579	0.00411
Christensenella sp5028	5028	S	102551	10904	104983	0.003833
Methanobrevibacter sp5029	5029	S	69977	7724	76521	0.002794
Granulicatella sp5031	5031	S	400089	20624	448880	0.016389
Rothia sp5032	5032	S	423038	29253	436866	0.01595
Actinomyces sp5033	5033	S	228918	29120	236058	0.008618
Corynebacterium sp5034	5034	S	275639	38726	281657	0.010283
Finegoldia sp5035	5035	S	86532	4525	94608	0.003454
Peptoniphilus sp5036	5036	S	381566	22664	407078	0.014862
Propionibacterium sp5037	5037	S	198043	22294	210648	0.007691
Megasphaera sp5038	5038	S	96316	5676	101039	0.003689
Dialister sp5039	5039	S	1538141	113518	1757818	0.064178
Mitsuokella sp5040	5040	S	146500	22446	168123	0.006138
Phascolarctobacterium sp5041	5041	S	29374	754	32570	0.001189
Pseudoflavonifractor sp5042	5042	S	186360	21144	218268	0.007969
Flavonifractor sp5043	5043	S	186170	10059	196894	0.007189
