name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	480226	67743	546183	0.0251
Roseburia hominis	301301	S	86256	10553	92312	0.004242
Eubacterium rectale	39491	S	280427	9120	293015	0.013465
Bifidobacterium adolescentis	1680	S	121380	16891	129774	0.005964
Bifidobacterium longum	216816	S	269733	42749	294850	0.01355
Akkermansia muciniphila	239935	S	202805	4732	220961	0.010154
Prevotella copri	165179	S	692915	108890	762774	0.035053
Escherichia coli	562	S	1241067	179969	1382100	0.063514
Enterococcus faecalis	1351	S	283576	15165	288719	0.013268
Fusobacterium nucleatum	851	S	430286	54221	498890	0.022926
Ruminococcus gnavus	33038	S	731589	95811	815844	0.037492
Bacteroides fragilis	817	S	279363	22189	304849	0.014009
Clostridium difficile	1496	S	316013	18749	326904	0.015023
Parabacteroides sp5001	5001	S	58917	3627	64288	0.002954
Alistipes sp5002	5002	S	387688	33792	428337	0.019684
Blautia sp5003	5003	S	374094	20899	385140	0.017699
Clostridium sp5004	5004	S	101320	10977	109107	0.005014
Dorea sp5005	5005	S	37082	1733	41646	0.001914
Coprococcus sp5006	5006	S	450688	49406	455235	0.02092
Lachnospira sp5007	5007	S	293041	30399	312885	0.014379
Anaerostipes sp5008	5008	S	335793	36438	393019	0.018061
Collinsella sp5009	5009	S	28646	2531	30922	0.001421
Eggerthella sp5010	5010	S	22159	299	24515	0.001127
Enterobacter sp5014	5014	S	200588	32544	228201	0.010487
Klebsiella sp5015	5015	S	311064	23894	341340	0.015686
Citrobacter sp5016	5016	S	221897	1457	258650	0.011886
Proteus sp5017	5017	S	59347	5002	61977	0.002848
Haemophilus sp5018	5018	S	365546	14391	394628	0.018135
Desulfovibrio sp5019	5019	S	42012	1102	43685	0.002008
Sutterella sp5021	5021	S	414975	32644	472373	0.021708
Parasutterella sp5022	5022	S	329450	13695	368949	0.016955
Oscillibacter sp5023	5023	S	322808	33292	340952	0.015668
Subdoligranulum sp5024	5024	S	127683	8216	131135	0.006026
Butyrivibrio sp5025	5025	S	145924	6957	169490	0.007789
Odoribacter sp5026	5026	S	64645	5799	64840	0.00298
Barnesiella sp5027	5027	S	69806	80	72984	0.003354
Christensenella sp5028	5028	S	85097	516	91726	0.004215
Methanobrevibacter sp5029	5029	S	174604	25781	186666	0.008578
Rothia sp5032	5032	S	555522	45257	558167	0.02565
Corynebacterium sp5034	5034	S	439173	67760	478022	0.021967
Finegoldia sp5035	5035	S	137602	1408	144686	0.006649
Peptoniphilus sp5036	5036	S	274680	10761	298612	0.013723
Propionibacterium sp5037	5037	S	177816	13198	193180	0.008878
Megasphaera sp5038	5038	S	218346	12466	232947	0.010705
Dialister sp5039	5039	S	165872	14329	189647	0.008715
Mitsuokella sp5040	5040	S	197784	20214	202954	0.009327
Phascolarctobacterium sp5041	5041	S	38560	6007	42809	0.001967
Pseudoflavonifractor sp5042	5042	S	250782	7980	254129	0.011678
Flavonifractor sp5043	5043	S	81461	10583	95175	0.004374
